id,entityID,url,airframe,make,model,category,categoryReadable,imei,icaoCode,profilePhotoBig,profilePhotoSmall,callsign,registration,waterCapacity,hasFoamSuppresant,foamCapacity,hasGelSuppresant,gelCapacity,engineType,numEngines,engineMake,engineModel,fuelType,landingGear,mtow,countryOfRegistration,registrationStatus,serialNumber,coaCategory,canFirebomb,firebombingType,firebombingMakeAndModel,splitLoadMultiDrop,hasFirebombingBackup,firebombingBackupType,firebombingBackupCapacity,firebombingBackupMakeAndModel,hasIntelGathering,fuelConsumptionRate,canWinch,operatingSpeed,seats,id,url,entityID,name,registeredName,telephone,operationalContact,email,name,.aircraft[].serviceRoles[].approvedBy[],.aircraft[].approvedByAgencies[],.aircraft[].jurisdictions[],warnings,change,.aircraft[].capabilities[],id,name,jurisdiction,id,name,jurisdiction,name,.aircraft[].serviceRoles[]
2,7,https://arena.nafc.org.au/resource/api/ext/aircraft/2,FIXED_WING,PIPER AIRCRAFT CORP,PA-31-350,FixOther,FW - Other,N/A,7C4049,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9509/med-IMG_0092.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9509/small-IMG_0092.JPG,,VH-MZF,,,,,,Piston,2,TEXTRON LYCOMING,TIO-540-J2BD,Gasoline - AvGas,Tricycle - Retractable,3342,Australia,Full Registration,31-8252039,Normal,false,null,,,,null,,,null,160,null,180,6,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - General Cargo,,,,true,2020-11-17T17:06:31+1100,,17,VIC - DELWP,VIC,2,QLD - QFES,QLD,VIC,
3,12,https://arena.nafc.org.au/resource/api/ext/aircraft/3,FIXED_WING,CESSNA AIRCRAFT COMPANY,310R,FixOther,FW - Other,N/A,7C0838,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9505/med-PA31 & C310 photos for RFS 002.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9505/small-PA31 & C310 photos for RFS 002.jpg,,VH-BWQ,,,,,,Piston,2,TELEDYNE-CONTINENTAL MOTORS,IO-520-H,Gasoline - AvGas,Tricycle - Retractable,2495,Australia,Full Registration,310R1401,Normal,false,null,,,,null,,,null,108,null,180,3,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - Passenger - Low Capacity,,,,true,2020-11-17T17:06:31+1100,,2,QLD - QFES,QLD,17,VIC - DELWP,VIC,QLD,
5,14,https://arena.nafc.org.au/resource/api/ext/aircraft/5,FIXED_WING,CESSNA AIRCRAFT COMPANY,310R,FixOther,FW - Other,N/A,7C2603,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9506/med-PA31 & C310 photos for RFS 001.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9506/small-PA31 & C310 photos for RFS 001.jpg,,VH-HSL,,,,,,Piston,2,TELEDYNE-CONTINENTAL MOTORS,IO-520,Gasoline - AvGas,Tricycle - Retractable,2495,Australia,Full Registration,310R0946,Normal,false,null,,,,null,,,null,108,null,180,3,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - Fire & Emergency Crew,,,,true,2020-11-17T17:06:31+1100,,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
6,15,https://arena.nafc.org.au/resource/api/ext/aircraft/6,FIXED_WING,PIPER AIRCRAFT CORP,PA-31-350,FixOther,FW - Other,N/A,7C1235,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9507/med-IMG_3767.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9507/small-IMG_3767.JPG,,VH-DVR,,,,,,Piston,2,TEXTRON LYCOMING,TIO-540-J2BD,Gasoline - AvGas,Tricycle - Retractable,3342,Australia,Full Registration,31-7952052,Normal,false,null,,,,null,,,null,160,null,180,6,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - Fire & Emergency Crew,,,,true,2020-11-17T17:06:31+1100,,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,VIC,
7,16,https://arena.nafc.org.au/resource/api/ext/aircraft/7,FIXED_WING,PIPER AIRCRAFT CORP,PA-31-350,FixOther,FW - Other,N/A,7C123A,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9508/med-PA31 DVW photos for RFS 005.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9508/small-PA31 DVW photos for RFS 005.jpg,,VH-DVW,,,,,,Piston,2,TEXTRON LYCOMING,TIO-540-J2BD,Gasoline - AvGas,Tricycle - Retractable,3342,Australia,Full Registration,31-7952011,Normal,false,null,,,,null,,,null,160,null,180,6,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - General Cargo,,,,true,2020-11-17T17:06:31+1100,,2,QLD - QFES,QLD,17,VIC - DELWP,VIC,NSW,
8,17,https://arena.nafc.org.au/resource/api/ext/aircraft/8,FIXED_WING,BEECH AIRCRAFT CORP,1900D,FixOther,FW - Other,N/A,7C58E4,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0069/8240/med-B1900.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0069/8240/small-B1900.jpg,,VH-RUE,,,,,,Turboprop,2,PRATT & WHITNEY CANADA,PT6A-67D,Kerosene - JetA1,Tricycle - Retractable,7765,Australia,Full Registration,UE-53,Commuter,false,null,,,,null,,,null,392,null,245,15,2,https://arena.nafc.org.au/resource/api/ext/operators/2,4,Air Link Airlines (Old Company - Don't Use),Air Link Pty Ltd,+61268842435,+61418665400,charter@airlinkairlines.com.au,Transport - Passenger - Low Capacity,,,,true,2020-11-17T17:06:31+1100,,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
10,25,https://arena.nafc.org.au/resource/api/ext/aircraft/10,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,300434063596600,7C7AC5,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0057/5350/med-IMG_1882.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0057/5350/small-IMG_1882.JPG,FIREBIRD 306,VH-YJB,1000,true,56,false,,Turboshaft,1,TURBOMECA ENGINES,ARRIEL 2D,Kerosene - JetA1,Skid,2250,Australia,Full Registration,7565,Normal	 Restricted,true,Bucket,Waterhog,true,true,Bucket,1022,Fast Bucket,null,190,false,110,5,3,https://arena.nafc.org.au/resource/api/ext/operators/3,18,Microflite Helicopter Services,Microflite Pty Ltd,+61385879799,+61385879799,operations@microflite.com.au,Transport - Fire & Emergency Crew,,,,false,2021-11-24T17:24:14+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Aerial Incendiary System;Has Specialist Intel Gathering System;Has Backup Firebombing System;Has Firebombing System,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
11,42,https://arena.nafc.org.au/resource/api/ext/aircraft/11,FIXED_WING,BEECH AIRCRAFT CORP,B200,FixOther,FW - Other,,7C3A01,,,,VH-LQR,,,,,,Turboprop,2,PRATT & WHITNEY CANADA,PT6A-42,Kerosene - JetA1,Tricycle - Retractable,5670,Australia,Full Registration,BB-1054,Normal,false,null,,,,null,,,null,340,null,250,10,6,https://arena.nafc.org.au/resource/api/ext/operators/6,38,Altitude Aviation,Altitude Flight Operations Pty Ltd,+61414379992,+61414379992,info@altitudeaviation.com.au,Transport - General Cargo,,,,true,2014-09-18T17:19:36+1000,,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
13,55,https://arena.nafc.org.au/resource/api/ext/aircraft/13,FIXED_WING,CESSNA AIRCRAFT COMPANY,182T,FixAas,FW - AAS / Recce,300434063406350,7C085A,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0066/0443/med-BXO.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0066/0443/small-BXO.JPG,FIRESPOTTER 265,VH-BXO,,,,,,Piston,1,TEXTRON LYCOMING,IO-540-AB1A5,Gasoline - AvGas,Tricycle - Fixed,1400,Australia,Full Registration,18281869,Normal,false,null,,,,null,,,null,52,null,130,3,7,https://arena.nafc.org.au/resource/api/ext/operators/7,46,Curtis Aviation (NSW) Pty Limited,Curtis Aviation (NSW) Pty Limited,+61246556789,+61409645724,admin@curtisaviation.com.au,Transport - Passenger - Low Capacity,,,,true,2020-06-02T16:52:57+1000,,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
14,59,https://arena.nafc.org.au/resource/api/ext/aircraft/14,FIXED_WING,BEECH AIRCRAFT CORP,B200,FixOther,FW - Other,,7C3929,,,,VH-LKR,,,,,,Turboprop,2,PRATT & WHITNEY CANADA,PT6A-42,Kerosene - JetA1,Tricycle - Retractable,5670,Australia,Full Registration,BB-1087,Normal,false,null,,,,null,,,null,340,null,250,11,6,https://arena.nafc.org.au/resource/api/ext/operators/6,38,Altitude Aviation,Altitude Flight Operations Pty Ltd,+61414379992,+61414379992,info@altitudeaviation.com.au,Transport - Fire & Emergency Crew,,,,true,2014-09-18T17:19:36+1000,,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
