type,type,date,event_type,event_name,asset_id,is_equipment,location,staging_location_id,staging_location,.features[].properties.staging_location_coordinates[],base_location,base_location_id,.features[].properties.base_location_coordinates[],temp_base,fuelling_arrangement,standby_fuelling_arrangement,response,standby_response,incident_id,incident_name,jurisdiction,dispatch_id,dispatch_number,dispatch_time,dispatch_contact,dispatch_email,dispatch_phone,dispatch_alt_phone,dispatch_ctaf,dispatch_primary_role,service_period_id,is_pdd,agency_personnel_name,agency_personnel_phone,agency_personnel_role,notes,type,.features[].geometry.coordinates[]
FeatureCollection,Feature,2022-07-26,AVAILABLE,Available,2551,false,Glentanner,null,null,,Glentanner,null,170.1253;-43.9077,false,ABD,null,45,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,170.1253;-43.9077
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2550,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2670,false,+P Trangie NSW,null,null,,+P Trangie NSW,null,148.0031;-31.9807,false,ABD,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Contact Marcus Ashby 0419862226	Configuration:	Fixed Wing Fire Bomber 299	,Point,148.0031;-31.9807
,Feature,2022-07-26,AVAILABLE,Available,274,true,West Sale Airport,null,null,,West Sale Airport,null,146.9665;-38.0932,false,NA,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Call 0458411599 (24hrs).	Truck can leave the airport for emergencies.	Configuration:	Available 24/7 with 1hr prior notice	,Point,146.9665;-38.0932
,Feature,2022-07-02,STANDBY,Standby,2306,false,Batchelor Aerodrome,null,null,,Batchelor Aerodrome,395,131.0283;-13.0558,false,BD,BD,15,15,null,null,NT,null,,null,Duty Pilot,kylie@xoaviation.com.au,+61419854448,,,null,5247,false,,,,,Point,131.0283;-13.0558
,Feature,2022-04-26,STANDBY,Standby,1696,false,Jandakot Airport,null,null,,Jandakot Airport,742,115.8817;-32.0967,false,ABD,ABD,15,15,null,null,WA,null,,null,Duty Pilot,arena@mcdermottaviation.com.au	mcdavn97md@gmail.com,+61488629674,+61407030602,,null,5138,false,,,,,Point,115.8817;-32.0967
,Feature,2022-07-26,AVAILABLE,Available,1454,false,Maindample,null,null,,Maindample,null,145.9588;-37.0244,false,ABD,null,2880,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,145.9588;-37.0244
,Feature,2022-07-26,AVAILABLE,Available,2429,false,Taupo Airport,null,null,,Taupo Airport,null,176.0835;-38.7408,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	5 Passenger and Bucket	,Point,176.0835;-38.7408
,Feature,2022-07-26,AVAILABLE,Available,2308,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.0947;-37.9761,false,NA,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,145.0947;-37.9761
,Feature,2022-07-26,AVAILABLE,Available,2549,false,42 Aviation Drive,null,null,,42 Aviation Drive,null,167.6426;-45.534,false,NA,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Air attack supervisor	,Point,167.6426;-45.534
,Feature,2022-07-26,AVAILABLE,Available,380,true,Mudgee Airport,null,null,,Mudgee Airport,null,149.6162;-32.5642,false,ABD,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,149.6162;-32.5642
,Feature,2022-07-26,AVAILABLE,Available,2562,false,D Te Anau Milford Highway	 Te Anau	 New Zealand,null,null,,D Te Anau Milford Highway	 Te Anau	 New Zealand,null,167.7641;-45.381,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,167.7641;-45.381
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,1594,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unserviceable:	Winch	 Transport	 SAR	 Passenger transfer + ARC down the wire crewman available	,Point,
,Feature,2022-07-26,AVAILABLE,Available,382,true,Armidale Regional Airport,null,null,,Armidale Regional Airport,null,151.615;-30.5321,false,NA,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Paired with CD68XQ	,Point,151.615;-30.5321
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1110,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unavailable:	Out of Country	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2561,false,17 Findlay Road,null,null,,17 Findlay Road,null,167.7845;-46.0453,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,167.7845;-46.0453
,Feature,2022-07-26,AVAILABLE,Available,383,true,Mudgee Airport,null,null,,Mudgee Airport,null,149.6162;-32.5642,false,NA,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,149.6162;-32.5642
,Feature,2022-07-26,AVAILABLE,Available,262,true,Cambridge,null,null,,Cambridge,null,147.4411;-42.8367,false,NA,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Contact Base manager 62157000	Configuration:	Fuel truck 2400 litre capacity	,Point,147.4411;-42.8367
,Feature,2022-07-26,AVAILABLE,Available,384,true,Armidale Regional Airport,null,null,,Armidale Regional Airport,null,151.615;-30.5321,false,NA,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,151.615;-30.5321
,Feature,2022-07-26,AVAILABLE,Available,142,true,Goulburn Airport,null,null,,Goulburn Airport,null,149.7343;-34.8068,false,NA,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Call 0403368933 (24hr)	Truck cannot leave the airport.	Configuration:	1hr prior notice	,Point,149.7343;-34.8068
,Feature,2022-07-26,AVAILABLE,Available,143,true,Clarence Valley Regional Airport,null,null,,Clarence Valley Regional Airport,null,153.0311;-29.7555,false,NA,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Call 0401940070 (24hrs)=	Truck can leave the airport for local emergencies.	Configuration:	1hr prior notice (24hrs)	,Point,153.0311;-29.7555
,Feature,2022-07-24,AVAILABLE,Available,2559,false,7304 State Highway 4,null,null,,7304 State Highway 4,null,175.2963;-39.3876,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Contact: Steve Ashcroft	P. 021800783   E. steve@midwestheli.co.nz	Configuration:	Air Attack	 Air Platform	 Transport	,Point,175.2963;-39.3876
,Feature,2022-07-26,LIMITED,Available (Limited),2316,false,Dubbo City Regional Airport,null,null,,Dubbo City Regional Airport,null,148.5697;-32.2189,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Can be available from Bankstown within 4 hours 	Seats can be removed for cargo	Configuration:	5 Pax or cargo	,Point,148.5697;-32.2189
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2557,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unserviceable:	Ph 037626117 Diverted to duty pilots cell phone	Stuart Gorrie 021914494	Henry Deans 0210682767	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2556,false,Makarora,null,null,,Makarora,null,169.2313;-44.2319,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,169.2313;-44.2319
