id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
1949,https://arena.nafc.org.au/resource/api/ext/aircraft/1949,FIXED_WING,CESSNA AIRCRAFT COMPANY,525,FixAas,FW - AAS / Recce,BIRDDOG 123,VH-RMB,153,AGAIR Response
1969,https://arena.nafc.org.au/resource/api/ext/aircraft/1969,FIXED_WING,GULFSTREAM AEROSPACE CORP,695-A,FixAas,FW - AAS / Recce,BIRDDOG 125,VH-LMC,153,AGAIR Response
483,https://arena.nafc.org.au/resource/api/ext/aircraft/483,FIXED_WING,ROCKWELL INTERNATIONAL,690-B,FixAas,FW - AAS / Recce,BIRDDOG 273,VH-LVG,153,AGAIR Response
569,https://arena.nafc.org.au/resource/api/ext/aircraft/569,FIXED_WING,AERO COMMANDER,690-A,FixAas,FW - AAS / Recce,BIRDDOG 370,VH-ATF,153,AGAIR Response
482,https://arena.nafc.org.au/resource/api/ext/aircraft/482,FIXED_WING,CESSNA AIRCRAFT COMPANY,337G,FixAas,FW - AAS / Recce,BIRDDOG 372,VH-IOK,153,AGAIR Response
810,https://arena.nafc.org.au/resource/api/ext/aircraft/810,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 373,VH-POV,265,Vortex Air Pty Ltd
1818,https://arena.nafc.org.au/resource/api/ext/aircraft/1818,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 373,VH-POV,60,PAY'S AIR SERVICE PTY LTD
2831,https://arena.nafc.org.au/resource/api/ext/aircraft/2831,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 373,VH-POV,604,Air Kimberley
1857,https://arena.nafc.org.au/resource/api/ext/aircraft/1857,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 375,VH-SHW,96,Australia by Air
2010,https://arena.nafc.org.au/resource/api/ext/aircraft/2010,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 375,VH-SHW,429,Blue Sky Airways
2356,https://arena.nafc.org.au/resource/api/ext/aircraft/2356,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 375,VH-SHW,542,TrackAir Tasmania
2862,https://arena.nafc.org.au/resource/api/ext/aircraft/2862,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 375,VH-SHW,60,PAY'S AIR SERVICE PTY LTD
704,https://arena.nafc.org.au/resource/api/ext/aircraft/704,FIXED_WING,GULFSTREAM AMERICAN CORPORATION,695A,FixAas,FW - AAS / Recce,BIRDDOG 376,VH-HPY,153,AGAIR Response
2769,https://arena.nafc.org.au/resource/api/ext/aircraft/2769,FIXED_WING,GULFSTREAM AMERICAN CORPORATION,695A,FixAas,FW - AAS / Recce,BIRDDOG 376,VH-HPY,1,Stock Software (Testing Op)
795,https://arena.nafc.org.au/resource/api/ext/aircraft/795,FIXED_WING,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68C,FixAas,FW - AAS / Recce,BIRDDOG 377,VH-ILM,251,Royal Victorian Aero Club
422,https://arena.nafc.org.au/resource/api/ext/aircraft/422,FIXED_WING,CESSNA AIRCRAFT COMPANY,337G,FixAas,FW - AAS / Recce,BIRDDOG 378,VH-ZEV,140,AeroVision
802,https://arena.nafc.org.au/resource/api/ext/aircraft/802,FIXED_WING,AERO COMMANDER,500-S,FixAas,FW - AAS / Recce,BIRDDOG 379,VH-LET,264,Melton Air Services
359,https://arena.nafc.org.au/resource/api/ext/aircraft/359,FIXED_WING,CESSNA AIRCRAFT COMPANY,337H,FixAas,FW - AAS / Recce,BIRDDOG 380,VH-LSZ,119,Bairnsdale Air Charter	 Australian Aviation Network (AAN)
573,https://arena.nafc.org.au/resource/api/ext/aircraft/573,FIXED_WING,CESSNA AIRCRAFT COMPANY,337G,FixAas,FW - AAS / Recce,BIRDDOG 381,VH-AEV,140,AeroVision
809,https://arena.nafc.org.au/resource/api/ext/aircraft/809,FIXED_WING,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68B,FixAas,FW - AAS / Recce,BIRDDOG 383,VH-LJR,265,Vortex Air Pty Ltd
835,https://arena.nafc.org.au/resource/api/ext/aircraft/835,FIXED_WING,AERO COMMANDER,500-S,FixAas,FW - AAS / Recce,BIRDDOG 384,VH-UJR,256,Ramair Flying Services
360,https://arena.nafc.org.au/resource/api/ext/aircraft/360,FIXED_WING,PIPER AIRCRAFT CORP,PA-34-220T,FixOther,FW - Other,BIRDDOG 386,VH-FFG,119,Bairnsdale Air Charter	 Australian Aviation Network (AAN)
607,https://arena.nafc.org.au/resource/api/ext/aircraft/607,FIXED_WING,AERO COMMANDER,690-A,FixAas,FW - AAS / Recce,BIRDDOG 387,VH-CLT,153,AGAIR Response
2660,https://arena.nafc.org.au/resource/api/ext/aircraft/2660,FIXED_WING,AERO COMMANDER,690-A,FixAas,FW - AAS / Recce,BIRDDOG 387,VH-CLT,580,Southern Airlines
2662,https://arena.nafc.org.au/resource/api/ext/aircraft/2662,FIXED_WING,AERO COMMANDER,690-A,FixAas,FW - AAS / Recce,BIRDDOG 387,VH-CLT,265,Vortex Air Pty Ltd
822,https://arena.nafc.org.au/resource/api/ext/aircraft/822,FIXED_WING,TED SMITH AEROSTAR CORP.,PA-60-600 (AEROSTAR 600),FixAas,FW - AAS / Recce,BIRDDOG 390,VH-LJT,255,Wrightsair
801,https://arena.nafc.org.au/resource/api/ext/aircraft/801,FIXED_WING,AERO COMMANDER,500-A,FixAas,FW - AAS / Recce,BIRDDOG 392,VH-IOE,264,Melton Air Services
818,https://arena.nafc.org.au/resource/api/ext/aircraft/818,FIXED_WING,PILATUS BRITTEN-NORMAN LTD,BN2B-26,FixAas,FW - AAS / Recce,BIRDDOG 393,VH-MGJ,134,Alpine Airwork
849,https://arena.nafc.org.au/resource/api/ext/aircraft/849,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 396,VH-TLD,270,Broome Aviation
1068,https://arena.nafc.org.au/resource/api/ext/aircraft/1068,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 396,VH-TLD,255,Wrightsair
1747,https://arena.nafc.org.au/resource/api/ext/aircraft/1747,FIXED_WING,CESSNA AIRCRAFT COMPANY,208B,FixAas,FW - AAS / Recce,BIRDDOG 398,VH-OZH,255,Wrightsair
736,https://arena.nafc.org.au/resource/api/ext/aircraft/736,FIXED_WING,CESSNA AIRCRAFT COMPANY,337G,FixAas,FW - AAS / Recce,BIRDDOG 402,VH-JOC,241,Flight Dynamics Pty Ltd
791,https://arena.nafc.org.au/resource/api/ext/aircraft/791,FIXED_WING,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68C,FixAas,FW - AAS / Recce,BIRDDOG 416,VH-PNW,87,Liddles Air Service
829,https://arena.nafc.org.au/resource/api/ext/aircraft/829,FIXED_WING,VULCANAIR S.P.A.,P.68C,null,Unspecified,BIRDDOG 428,VH-VMV,148,Queensland Aircraft Charter
1476,https://arena.nafc.org.au/resource/api/ext/aircraft/1476,FIXED_WING,AERO COMMANDER,500-S,FixAas,FW - AAS / Recce,BIRDDOG 433,VH-JAJ,5,Kennedy Air Ag Pty Ltd
2597,https://arena.nafc.org.au/resource/api/ext/aircraft/2597,FIXED_WING,AERO COMMANDER,500-S,FixAas,FW - AAS / Recce,BIRDDOG 433,VH-JAJ,570,ImageAir
