type,type,type,.features[].geometry.coordinates[],imei,url,assetType,assetRegistration,transmitted,received,speed,track,events
FeatureCollection,Feature,Point,149.6167;-32.5625;476,300234061477750,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234061477750?geojson=true,FIXED_WING,B716 VH-IWU R&M Aircraft,2016-03-07T11:32:31+1100,2016-03-07T11:32:53+1100,0,86,EVT_STANDARD
,Feature,Point,152.8353;-31.2836;65,300034012496100,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012496100?geojson=true,HELICOPTER,HT282 VH-RSL National,2017-09-06T14:23:02+1000,2017-09-06T14:23:14+1000,4,181,EVT_STANDARD
,Feature,Point,140.0697;-35.8712;23,300034012596350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012596350?geojson=true,VEHICLE,S054AJH-Tinty,2017-05-03T17:42:33+1000,2017-05-03T17:42:37+1000,21,237,EVT_STANDARD
,Feature,Point,173.9228;-41.5378;21,5X200225000952,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225000952?geojson=true,FIXED_WING,V2 ZK-HJI Marlborough Heli AFF,2022-07-26T11:23:07+1000,2022-07-26T11:23:34+1000,0,0,EVT_STANDARD
,Feature,Point,151.2922;-33.4915;85,300234011950410,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234011950410?geojson=true,HELICOPTER,FB277 VH-SHK Gemmell,2017-01-12T15:44:50+1100,2017-01-12T15:45:23+1100,61,139,EVT_STANDARD
,Feature,Point,151.1515;-33.841;167,300124000314580,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300124000314580?geojson=true,HELICOPTER,MEDIA NSW - VH-TCN (SKYTRAC),2016-09-28T08:53:13+1000,2016-09-28T08:54:14+1000,198,277,EVT_INFLIGHT
,Feature,Point,168.7456;-45.0171;356,300434062091810,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062091810?geojson=true,HELICOPTER,ZK-HML,2022-03-27T08:58:45+1100,2022-03-27T08:59:10+1100,0,0,EVT_STANDARD
,Feature,Point,123.0589;-16.4472;16,DST005ACCA52,https://arena.nafc.org.au/tracking/api/ext/currentLocations/DST005ACCA52?geojson=true,HEARTBEAT,BARDI JAWI R1,2021-12-08T18:13:36+1100,2021-12-08T18:13:56+1100,0,288,EVT_STANDARD
,Feature,Point,176.9195;-37.9242;21,300434062097700,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062097700?geojson=true,HELICOPTER,HT679 ZK-HKU United Aero,2022-07-07T11:05:54+1000,2022-07-07T11:07:16+1000,0,0,EVT_SHUTDOWN
,Feature,Point,153.1576;-27.4035;7,300434062097900,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062097900?geojson=true,HELICOPTER,BR,2022-03-09T13:25:15+1100,2022-03-09T13:45:03+1100,1,0,EVT_STANDARD
,Feature,Point,148.5961;-36.3494;991,300434063865080,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063865080?geojson=true,HELICOPTER,PKAR03 (RockAIR),2021-04-26T16:23:46+1000,2021-04-26T16:23:49+1000,0,0,EVT_SHUTDOWN
,Feature,Point,141.8135;-27.3995;108,300434063390380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063390380?geojson=true,FIXED_WING,FB508 VH-HQO,2020-05-05T12:37:49+1000,2020-05-05T12:38:04+1000,0,0,EVT_SHUTDOWN
,Feature,Point,150.6871;-34.0401;91,300125060031790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300125060031790?geojson=true,HELICOPTER,HT275 C-FWTY United Aero,2020-03-28T10:07:28+1100,2020-03-28T10:08:30+1100,0,356,EVT_SHUTDOWN
,Feature,Point,147.4749;-42.828;25,G16000003,https://arena.nafc.org.au/tracking/api/ext/currentLocations/G16000003?geojson=true,HELICOPTER,HT-777 VH-NVN Helicopter Resources,2022-07-20T14:58:50+1000,2022-07-20T14:58:58+1000,0,0,EVT_TAKEOFF
,Feature,Point,138.5244;-34.0255;172,300434066711740,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066711740?geojson=true,FIXED_WING,B596 VH-ODZ Aerotech,2022-07-15T09:56:00+1000,2022-07-15T09:56:13+1000,0,0,EVT_SHUTDOWN
,Feature,Point,170.5013;-45.8791;21,300434063643870,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063643870?geojson=true,HEARTBEAT,TP1714783,2022-06-29T10:56:15+1000,2022-06-29T10:56:23+1000,0,0,EVT_STANDARD
,Feature,Point,175.7909;-39.6865;441,300234066737420,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066737420?geojson=true,HELICOPTER,ZK-HYK,2022-07-23T04:50:38+1000,2022-07-23T04:51:34+1000,0,0,EVT_STANDARD
,Feature,Point,167.9249;-44.6734;2,300534060386040,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534060386040?geojson=true,HELICOPTER,HYM,2021-04-18T10:40:43+1000,2021-04-18T10:42:08+1000,0,15,EVT_STANDARD
