imei,url,assetType,assetRegistration,transmitted,received,latitude,longitude,speed,track,altitude,events,productType
300234061477750,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234061477750,FIXED_WING,B716 VH-IWU R&M Aircraft,2016-03-07T11:32:31+1100,2016-03-07T11:32:53+1100,-32.56253,149.61673,0,86,476,EVT_STANDARD,
300034012496100,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012496100,HELICOPTER,HT282 VH-RSL National,2017-09-06T14:23:02+1000,2017-09-06T14:23:14+1000,-31.2835833333333,152.835333333333,4,181,65,EVT_STANDARD,
300034012596350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012596350,VEHICLE,S054AJH-Tinty,2017-05-03T17:42:33+1000,2017-05-03T17:42:37+1000,-35.8711833333333,140.06965,21,237,23,EVT_STANDARD,
300234011950410,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234011950410,HELICOPTER,FB277 VH-SHK Gemmell,2017-01-12T15:44:50+1100,2017-01-12T15:45:23+1100,-33.49154,151.29216,61,139,85,EVT_STANDARD,
300124000314580,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300124000314580,HELICOPTER,MEDIA NSW - VH-TCN (SKYTRAC),2016-09-28T08:53:13+1000,2016-09-28T08:54:14+1000,-33.8409540153,151.151517812697,198,277,167,EVT_INFLIGHT,
300434062091810,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062091810,HELICOPTER,ZK-HML,2022-03-27T08:58:45+1100,2022-03-27T08:59:10+1100,-45.01709,168.74564,0,0,356,EVT_STANDARD,UNKNOWN
DST005ACCA52,https://arena.nafc.org.au/tracking/api/ext/currentLocations/DST005ACCA52,HEARTBEAT,BARDI JAWI R1,2021-12-08T18:13:36+1100,2021-12-08T18:13:56+1100,-16.4472222222222,123.058888888889,0,288,16,EVT_STANDARD,UNKNOWN
300434062929520,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062929520,HELICOPTER,Beck 2,2022-07-22T11:17:00+1000,2022-07-22T11:17:10+1000,-39.40939,174.30268,0,0,237,EVT_STANDARD,UNKNOWN
300434062097700,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062097700,HELICOPTER,HT679 ZK-HKU United Aero,2022-07-07T11:05:54+1000,2022-07-07T11:07:16+1000,-37.92419,176.91949,0,0,21,EVT_SHUTDOWN,UNKNOWN
300434062097900,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062097900,HELICOPTER,BR,2022-03-09T13:25:15+1100,2022-03-09T13:45:03+1100,-27.40351,153.1576,1,0,7,EVT_STANDARD,UNKNOWN
