id,entityID,url,imei,isVehicle,description,isSuppressantMixer,isRetardantMixer,isRefueler,fuelType,registration,id,url,entityID,name,registeredName,telephone,operationalContact,email,.equipment[].serviceRoles[],.equipment[].approvedByAgencies[],.equipment[].jurisdictions[],warnings,change,.equipment[].capabilities[],name,id,name,jurisdiction,id,name,jurisdiction,name,.equipment[].serviceRoles[].approvedBy[]
1,44,https://arena.nafc.org.au/resource/api/ext/equipment/1,,false,Intel Gathering (SIG/AIG) - WESCAM MX-10,false,false,false,,,3,https://arena.nafc.org.au/resource/api/ext/operators/3,18,Microflite Helicopter Services,Microflite Pty Ltd,+61385879799,+61385879799,operations@microflite.com.au,,,,false,2020-12-23T15:39:39+1100,,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
2,221,https://arena.nafc.org.au/resource/api/ext/equipment/2,,true,International Acco,false,false,true,Kerosene - JetA1,TNY614,18,https://arena.nafc.org.au/resource/api/ext/operators/18,219,Lismore Jet A1,Michael Lindsay - Mics Earthworks & general carriers,+61404343043,+61422441277,lismorejeta1@gmail.com,,,,false,2022-07-07T05:29:45+1000,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
4,477,https://arena.nafc.org.au/resource/api/ext/equipment/4,300034013316640,true,Volvo Heavy Rigid Fuel Tanker,false,false,true,Kerosene - JetA1,AT14FD,27,https://arena.nafc.org.au/resource/api/ext/operators/27,445,R&M Aviation Pty Ltd,R&M Aviation Pty Ltd,+61265820251,+61409871225,arena@rmaircraft.com.au,,,,true,2021-09-14T12:16:16+1000,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
5,509,https://arena.nafc.org.au/resource/api/ext/equipment/5,,true,Toyota Landcruiser,true,false,false,,DQ3203,27,https://arena.nafc.org.au/resource/api/ext/operators/27,445,R&M Aviation Pty Ltd,R&M Aviation Pty Ltd,+61265820251,+61409871225,arena@rmaircraft.com.au,,,,true,2021-08-03T11:10:03+1000,Is Suppressant Mixer;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
6,526,https://arena.nafc.org.au/resource/api/ext/equipment/6,,true,Heavy Dog Trailer,false,false,true,Kerosene - JetA1,YN21OW,27,https://arena.nafc.org.au/resource/api/ext/operators/27,445,R&M Aviation Pty Ltd,R&M Aviation Pty Ltd,+61265820251,+61409871225,arena@rmaircraft.com.au,,,,true,2022-02-24T12:50:26+1100,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
9,1305,https://arena.nafc.org.au/resource/api/ext/equipment/9,,true,Freightliner Fuel Tanker,false,false,true,Kerosene - JetA1,BP55KF,49,https://arena.nafc.org.au/resource/api/ext/operators/49,899,Superair,LonoaksP/L as trustee for the Superair Unit Trust,+61267725055,+61409325238,superair@iinet.net.au,,,,true,2014-07-18T12:01:24+1000,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
10,1306,https://arena.nafc.org.au/resource/api/ext/equipment/10,,true,Mitsubishi Fuso Loading Truck,false,false,true,Kerosene - JetA1,BW24DO,49,https://arena.nafc.org.au/resource/api/ext/operators/49,899,Superair,LonoaksP/L as trustee for the Superair Unit Trust,+61267725055,+61409325238,superair@iinet.net.au,,,,true,2014-07-18T11:59:58+1000,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
11,1051,https://arena.nafc.org.au/resource/api/ext/equipment/11,,true,Triton Delux twin cab.,false,false,false,,WVR 739,9,https://arena.nafc.org.au/resource/api/ext/operators/9,56,Jayrow Helicopters Pty. Ltd.,Jayrow Helicopters Pty. Ltd.,+61385511502,+61418742277,melbourne.administration@jayrow.com.au,,,,true,2020-12-15T10:36:54+1100,Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
12,1130,https://arena.nafc.org.au/resource/api/ext/equipment/12,,false,Aerial Incendiary Machine - Premo MK111,false,false,false,,,25,https://arena.nafc.org.au/resource/api/ext/operators/25,373,Air T&G Pty Ltd,Air T&G Pty Ltd,+61266814915,+61419673852,mail@airtg.com.au,,,,false,2014-07-19T09:48:24+1000,,Refueler - Mobile,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
14,1760,https://arena.nafc.org.au/resource/api/ext/equipment/14,300234060210840,true,Fuel Truck,false,false,true,Kerosene - JetA1,WRC-136,60,https://arena.nafc.org.au/resource/api/ext/operators/60,1622,PAY'S AIR SERVICE PTY LTD,PAY'S AIR SERVICE PTY LTD,+61265401850,+61265401800,support@paysairservice.com.au,,,,false,2022-06-14T10:15:12+1000,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
