imei,url,assetType,assetRegistration,transmitted,received,latitude,longitude,speed,track,altitude,event,source,messageText,productType,volume
300025010019680,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010019680,HELICOPTER,VH-YXI,2022-07-26T08:11:22+1000,2022-07-26T08:12:51+1000,-37.7205,144.898833333333,7,86,101,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300025010051530,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010051530,HELICOPTER,VH-YXF,2022-07-26T08:12:39+1000,2022-07-26T08:14:51+1000,-37.721,144.900833333333,21,177,97,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300025010143960,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010143960,HELICOPTER,VH-YXK,2022-07-26T08:13:07+1000,2022-07-26T08:14:51+1000,-37.7288333333333,144.901166666667,151,183,155,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300025010209620,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010209620,HELICOPTER,VH-EPK,2022-07-26T08:16:15+1000,2022-07-26T08:16:51+1000,-37.6735,144.849666666667,82,24,443,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300025010436170,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010436170,HELICOPTER,VH-YXG,2022-07-26T08:16:32+1000,2022-07-26T08:16:51+1000,-37.6718333333333,144.856,140,71,450,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300025010548540,https://arena.nafc.org.au/tracking/api/ext/tracks/300025010548540,HELICOPTER,VH-YXH,2022-07-26T08:19:42+1000,2022-07-26T08:20:51+1000,-37.5516666666667,144.914,284,23,491,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300034013304450,https://arena.nafc.org.au/tracking/api/ext/tracks/300034013304450,VEHICLE,x CAB 3 Fuel Truck 19	000 VOLVO,2022-07-26T08:22:52+1000,2022-07-26T08:24:51+1000,-37.428,144.9845,280,33,551,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300125010808360,https://arena.nafc.org.au/tracking/api/ext/tracks/300125010808360,FIXED_WING,B914 N603AX AGAIR,2022-07-26T08:26:01+1000,2022-07-26T08:26:51+1000,-37.305,145.036333333333,291,12,603,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300125060375250,https://arena.nafc.org.au/tracking/api/ext/tracks/300125060375250,FIXED_WING,B912 N522AX AGAIR,2022-07-26T08:29:24+1000,2022-07-26T08:30:51+1000,-37.1706666666667,145.073833333333,288,20,617,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234010475400,https://arena.nafc.org.au/tracking/api/ext/tracks/300234010475400,HELICOPTER,VH-UHV,2022-07-26T08:32:34+1000,2022-07-26T08:32:51+1000,-37.0343333333333,145.132,288,23,626,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234010713790,https://arena.nafc.org.au/tracking/api/ext/tracks/300234010713790,HELICOPTER,VH-HJG,2022-07-26T08:35:43+1000,2022-07-26T08:36:51+1000,-36.9053333333333,145.187333333333,288,7,657,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234011196130,https://arena.nafc.org.au/tracking/api/ext/tracks/300234011196130,HELICOPTER,HT422 VH-UEE SP Calibre,2022-07-26T08:38:49+1000,2022-07-26T08:40:51+1000,-36.7708333333333,145.2415,306,23,626,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234030134270,https://arena.nafc.org.au/tracking/api/ext/tracks/300234030134270,FIXED_WING,B360 VH-FBX Pays Air Service FIREBOSS,2022-07-26T08:42:00+1000,2022-07-26T08:42:51+1000,-36.638,145.303833333333,309,18,630,EVT_STANDARD,TRACPLUS,,UNKNOWN,1495
300234030136260,https://arena.nafc.org.au/tracking/api/ext/tracks/300234030136260,FIXED_WING,B218 VH-FBZ Pays Air Service FIREBOSS,2022-07-26T08:45:09+1000,2022-07-26T08:46:51+1000,-36.5001666666667,145.365,295,18,618,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234060705450,https://arena.nafc.org.au/tracking/api/ext/tracks/300234060705450,HEARTBEAT,HB-Iridium-9602A (333 princes st rooftop),2022-07-26T08:48:15+1000,2022-07-26T08:48:51+1000,-36.4388333333333,145.396333333333,147,10,210,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234062818880,https://arena.nafc.org.au/tracking/api/ext/tracks/300234062818880,VEHICLE,McDermott 06 - Scania - 827-RDX,2022-07-26T08:48:56+1000,2022-07-26T08:50:51+1000,-36.4298333333333,145.394166666667,64,279,149,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234062907190,https://arena.nafc.org.au/tracking/api/ext/tracks/300234062907190,HELICOPTER,HT223 VH-OXE - Touchdown Helicopters,2022-07-26T08:49:39+1000,2022-07-26T08:50:51+1000,-36.4295,145.391,10,279,116,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234063743520,https://arena.nafc.org.au/tracking/api/ext/tracks/300234063743520,VEHICLE,FS8 Western Star,2022-07-26T11:05:00+1000,2022-07-26T11:06:51+1000,-36.4275,145.390666666667,0,0,0,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234063939420,https://arena.nafc.org.au/tracking/api/ext/tracks/300234063939420,FIXED_WING,B352 VH-FFM Field Air (AT-802F),2022-07-26T11:05:52+1000,2022-07-26T11:06:51+1000,-36.427,145.391833333333,28,189,120,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064220100,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064220100,FIXED_WING,B220 VH-LIH Pays Air Service Holdings,2022-07-26T11:06:26+1000,2022-07-26T11:06:51+1000,-36.4343333333333,145.390166666667,136,190,185,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064223170,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064223170,FIXED_WING,B227 VH-LIS Pays Air Service Holdings,2022-07-26T11:09:35+1000,2022-07-26T11:10:51+1000,-36.5288333333333,145.364,219,193,460,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064641160,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064641160,HELICOPTER,FB219 VH-THV Aerologistics,2022-07-26T11:12:47+1000,2022-07-26T11:14:51+1000,-36.6281666666667,145.3355,216,193,464,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064770550,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064770550,VEHICLE,FS2 Iveco,2022-07-26T11:15:56+1000,2022-07-26T11:16:51+1000,-36.7306666666667,145.306,223,193,459,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064776550,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064776550,VEHICLE,FS12 Dodge Ram,2022-07-26T11:19:04+1000,2022-07-26T11:20:51+1000,-36.829,145.266666666667,223,197,461,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064872900,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064872900,VEHICLE,FS1 Iveco,2022-07-26T11:22:24+1000,2022-07-26T11:22:51+1000,-36.9193333333333,145.210166666667,212,211,460,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234064979030,https://arena.nafc.org.au/tracking/api/ext/tracks/300234064979030,VEHICLE,FS5 Volvo,2022-07-26T11:25:36+1000,2022-07-26T11:26:51+1000,-37.0143333333333,145.1485,212,207,462,EVT_STANDARD,TRACPLUS,,UNKNOWN,
